stock,isin,sector,timeframe,mode,status,exit_reason,regime,fib_class,zoi_position,signal_date,signal_close,planned_entry,stop_loss,target,entry_date,entry_fill,exit_date,exit_fill,shares,capital_deployed,hold_trading_bars,hold_calendar_days,R_multiple,mfe_R,pnl_rupees
ARE&M,INE885A01032,auto,1d,FIB_ZOI,LOSS,SL,BEAR,BELOW_UP,INSIDE_DEMAND_UP,2024-11-19,1247.8,1247.8,1185.41,1372.6,2024-11-21,1248.42,2024-12-20,1184.81,80,99874,22,29,-1.01,1.77,-5089
ARE&M,INE885A01032,auto,1d,FIB_ZOI,LOSS,TIME,BEAR,SHALLOW,NEAR_ABOVE_DEMAND_UP,2025-02-19,970.9,970.9,638.65,1635.4,2025-02-20,970.48,2025-04-07,954.22,103,99960,30,46,-0.05,0.42,-1675
ARE&M,INE885A01032,auto,1d,FIB_ZOI,NO_FILL,,,,,2025-04-11,,,,,,,,,,,,,,,
ARE&M,INE885A01032,auto,1d,FIB_ZOI,LOSS,SL,BEAR,IN_POCKET_UP,NEAR_ABOVE_DEMAND_UP,2025-04-15,994.6,994.6,919.87,1144.05,2025-04-16,995.1,2025-05-06,919.39,100,99510,13,20,-1.01,0.61,-7571
ARE&M,INE885A01032,auto,1d,FIB_ZOI,WIN,TIME,BULL,RECOVERED_ABOVE,INSIDE_DEMAND_UP,2025-05-08,963.2,963.2,893.78,1102.05,2025-05-09,940.47,2025-06-19,985.71,106,99690,30,41,0.97,3.29,4795
ARE&M,INE885A01032,auto,1d,FIB_ZOI,LOSS,SL,BULL,RECOVERED_ABOVE,NEAR_ABOVE_DEMAND_UP,2025-07-11,978.05,978.05,926.31,1081.55,2025-07-14,978.54,2025-08-07,925.84,102,99811,19,24,-1.01,1.05,-5376
ARE&M,INE885A01032,auto,1d,FIB_ZOI,WIN,TIME,BEAR,SHALLOW,NEAR_ABOVE_DEMAND_UP,2025-08-13,957.95,957.95,665.27,1543.3,2025-08-14,958.43,2025-09-26,977.26,104,99677,30,43,0.06,0.34,1959
ARE&M,INE885A01032,auto,1d,FIB_ZOI,LOSS,TIME,BEAR,IN_POCKET_UP,NEAR_ABOVE_DEMAND_UP,2025-10-01,993.5,993.5,938.35,1103.8,2025-10-03,994,2025-11-17,964.62,100,99400,30,45,-0.53,0.52,-2938
ARE&M,INE885A01032,auto,1d,FIB_ZOI,LOSS,SL,BULL,AT_LOW_UP,INSIDE_DEMAND_UP,2025-12-01,950.45,950.45,902.93,1045.5,2025-12-02,950.93,2025-12-30,902.5,105,99847,20,28,-1.01,0.08,-5085
ARE&M,INE885A01032,auto,1w,FIB,LOSS,SL,BULL,IN_POCKET_UP,,2019-03-18,716.1,716.1,680.3,787.7,2019-03-25,711.76,2019-04-03,679.96,140,99646,8,9,-1.01,0.87,-4451
